Echantillons;Etat;Var;Squalane;BetaCaryophyllene;AlphaCaryophyllene;Guaiol;gEudesmol;Bulnesol;AlphaBisabolol;Cannabinoide1;THV;Cannabinoide2;CBL;CBDCBC;D9THC;CBG;CBN;Nonacosane
ML005_b;Stupefiant;ML;2463068;983;1501;0;0;0;3742;3170;1560;6745;3504;227396;342682;3903;6673;27264
ML006_a;Stupefiant;ML;2474254;1157;1533;0;0;0;3811;2591;1623;5410;1876;179406;330631;4393;6615;22194
ML006_b;Stupefiant;ML;2501670;1140;1639;0;0;0;3664;2391;1545;5752;1994;182840;337958;5075;6744;19148
ML007_a;Stupefiant;ML;2550440;2309;3264;0;0;0;6222;1622;1828;2861;4981;258633;407018;2757;5694;22140
ML007_b;Stupefiant;ML;2513459;2357;3379;0;0;0;6131;1579;1893;4014;5407;258263;400767;2682;5740;21805
ML007_c;Stupefiant;ML;2505442;2455;3172;0;0;0;5777;1511;1662;3809;6111;258068;403325;3028;5756;21177
ML008_a;Stupefiant;ML;2442188;1766;2578;0;0;0;4794;1561;1233;3550;5865;219283;355460;2904;5006;21616
ML008_b;Stupefiant;ML;2456032;2058;2700;0;0;0;5283;0;1815;4333;5313;231633;372100;3005;8230;20580
ML008_c;Stupefiant;ML;2501557;1843;2817;0;0;0;4926;1457;1556;3866;4144;227015;361405;3410;5211;21348
ML009_a;Stupefiant;ML;2498004;889;1176;0;0;0;2983;1904;1509;3409;3004;182353;285076;2370;4870;16672
ML009_b;Stupefiant;ML;2527654;856;1291;0;0;0;3280;1858;1424;3909;3548;200506;308711;2856;5608;16827
ML009_c;Stupefiant;ML;2532767;971;1025;0;0;0;3472;1694;1483;4144;3093;201651;306144;2434;5504;15743
ML010_a;Stupefiant;ML;2517613;1852;2656;0;0;0;5277;1624;1949;3547;4437;229536;367210;2583;5506;24362
ML010_b;Stupefiant;ML;2473816;1919;2705;0;0;0;5209;1459;1761;4218;4235;233972;377717;2668;4578;26193
ML010_c;Stupefiant;ML;2519918;1866;2310;0;0;0;5395;1644;1497;3229;3966;228738;371762;2561;5542;25913
MB001_a;Stupefiant;MB;3026542;1065;1228;2040;1444;1193;4458;0;3805;2066;1460;92481;201036;1584;2507;28505
MB001_b;Stupefiant;MB;3070143;1018;1195;2371;1597;1194;4099;705;3407;1875;1568;93926;199368;1171;2699;27734
MB001_c;Stupefiant;MB;3093269;1030;1227;2349;1599;1067;4716;0;3844;2193;1571;97826;209124;1588;2838;30559
MB002_a;Stupefiant;MB;3069008;1298;1646;2169;1819;1253;3980;0;5866;2069;2297;150062;284858;1090;3101;30254
MB002_b;Stupefiant;MB;3084837;1349;1715;2341;1795;1495;4827;0;6775;2247;2388;170483;319127;2228;4030;31693
MB002_c;Stupefiant;MB;3043444;1539;1560;2443;1684;1283;4743;0;6273;2294;2491;160727;303023;1544;3433;34326
MB003_a;Stupefiant;MB;3068752;1294;1472;2428;1716;1182;4419;780;5420;2208;2190;143282;269385;1285;3873;29838
MB003_b;Stupefiant;MB;3080536;1247;1369;2028;1546;1205;4668;694;5177;2620;2380;147368;275649;1638;4445;28241
MB003_c;Stupefiant;MB;3094744;1310;1235;2496;1674;1135;4775;681;4911;2754;1851;139623;253037;1572;3883;29568
MB004_a;Stupefiant;MB;3151930;979;1201;2315;1653;1224;4682;822;4197;2850;1579;91664;210915;2726;3778;32234
MB004_b;Stupefiant;MB;3113588;947;1024;1924;1580;1370;4197;730;4335;2872;1565;99230;210135;2003;4099;27351
MB004_c;Stupefiant;MB;3133574;896;1149;2071;1526;1169;3771;764;4350;2292;1282;108459;228353;2351;4433;28627
MB005_a;Stupefiant;MB;3097506;1449;1404;2564;1940;1401;4904;1018;8079;3514;3661;192979;346095;1951;7402;40753
MB005_b;Stupefiant;MB;3105634;1377;1458;2671;1820;1239;5280;934;7562;3732;3819;191684;337756;2279;6623;42641
MB006_a;Stupefiant;MB;3104779;1951;1866;2679;1783;1441;5038;752;6069;2581;2177;178681;332691;2480;3836;30231
MB006_b;Stupefiant;MB;3126368;1709;1737;2556;1826;1403;4492;725;5839;2874;2627;172109;321419;2555;3829;35065
MB006_c;Stupefiant;MB;3097650;1959;2126;2716;1883;1408;4908;837;6490;3057;2778;189990;350209;3127;3715;29473
MB007_a;Stupefiant;MB;3106228;715;0;1529;1100;975;3125;0;5613;757;3401;139003;231945;993;6919;34525
MB008_a;Stupefiant;MB;3105484;955;1094;1591;1185;811;2984;0;4115;2050;1825;119604;226879;1876;3253;24441
MB008_b;Stupefiant;MB;3131789;976;959;1551;977;877;2726;758;4259;2476;2378;119280;226192;1134;4060;23540
MB008_c;Stupefiant;MB;3151849;1034;1145;1610;1190;754;2821;0;4252;2332;2063;119097;225215;1182;3665;26125
MB009_a;Stupefiant;MB;3141306;900;1108;1986;1362;1097;3796;956;5301;2692;2405;146286;277568;1536;4048;25558
MB009_b;Stupefiant;MB;3149841;1174;1264;2528;1977;1286;5188;1030;6818;3394;3187;178510;338720;2126;5384;28898
MB009_c;Stupefiant;MB;3139202;1180;1195;2327;1841;1443;4906;1029;6905;3026;3096;176765;331093;2409;5313;27719
MB010_a;Stupefiant;MB;3152369;1370;1461;2402;1934;1397;4735;0;6249;1805;2741;169048;306586;1489;3929;28657
MB010_b;Stupefiant;MB;3105512;1446;1336;2335;1831;1163;4488;0;6537;2714;2928;164573;314896;1445;3602;27955
MB010_c;Stupefiant;MB;3120699;1312;1175;2305;1683;1150;4419;0;6392;2354;2822;167173;314111;1799;4807;28654
NL001_a;Stupefiant;NL;2460420;3189;4409;0;0;0;16882;1757;2254;6046;9732;338047;506590;4218;11954;64741
NL002_a;Stupefiant;NL;2471855;3319;4042;0;0;0;9549;1307;1681;4313;8848;310637;399702;1618;8304;32732
NL003_a;Stupefiant;NL;2521892;1189;1354;0;0;0;5978;729;894;1931;5974;129012;212820;0;5138;34209
NL006_a;Stupefiant;NL;2501072;3445;4225;0;0;0;9755;1075;2205;3512;8325;297627;440883;2071;7297;38042
NL006_b;Stupefiant;NL;2440490;3683;4344;0;0;0;9941;1415;1832;2972;8730;304600;445858;1770;6933;36919
NL007_a;Stupefiant;NL;2500723;4238;4913;0;0;0;9833;1039;1937;2542;6814;218573;356197;1064;5544;31329
NL007_b;Stupefiant;NL;2477041;3367;4158;0;0;0;9426;0;1655;2645;6773;211850;345578;1264;5624;32667
NL008_a;Stupefiant;NL;2471278;4149;5324;0;0;0;11502;0;2062;3747;6587;336728;487770;2805;5602;30303
NL008_b;Stupefiant;NL;2484254;4721;5722;0;0;0;12092;0;1723;3931;6334;354778;513185;2648;6008;30429
RD001_a;Stupefiant;RD;2537724;2676;3265;0;0;0;16141;1901;7251;7315;12049;475738;622461;5171;8191;36581
RD001_b;Stupefiant;RD;2598872;2865;3678;0;0;0;19558;2301;8020;7994;14153;509896;662006;4854;8764;38994
RD001_c;Stupefiant;RD;2550001;2475;3412;0;0;0;17144;2287;7905;8524;14426;504933;643703;5328;8945;38806
RD002_a;Stupefiant;RD;2641659;4845;6355;0;0;0;24451;2669;9388;9240;10857;581468;713762;5377;8936;36348
RD002_b;Stupefiant;RD;2565760;4496;6160;0;0;0;23694;2505;8346;9768;10968;559486;684228;5168;8175;29896
RD002_c;Stupefiant;RD;2588242;4538;5988;0;0;0;23701;2819;8422;8908;11458;558460;681598;5613;8354;33772
RD003_a;Stupefiant;RD;2621348;5907;8085;0;0;0;24904;2418;9163;8765;11745;551902;774843;5610;7947;47460
RD003_b;Stupefiant;RD;2634407;5758;7304;0;0;0;22454;1983;8400;8865;11603;535219;742960;5809;7270;48430
RD003_c;Stupefiant;RD;2617002;5693;7601;0;0;0;22829;2235;8137;8050;10028;456224;667314;5819;6559;49269
RD004_a;Stupefiant;RD;2592371;5178;6662;0;0;0;22422;2333;8807;8073;15542;605339;757140;5790;9101;34627
RD004_b;Stupefiant;RD;2599136;5060;7066;0;0;0;25065;2625;9938;9910;15291;665840;813911;6105;10405;33607
RD004_c;Stupefiant;RD;2582261;4928;6351;0;0;0;25008;2858;9846;9353;15777;686813;824737;5888;10443;32810
RD005_a;Stupefiant;RD;2617083;5922;7894;0;0;0;25735;2336;9463;9621;14217;592527;803758;6022;9223;45223
RD005_b;Stupefiant;RD;2594743;5646;7021;0;0;0;24041;2028;9319;8525;15486;611447;809075;5356;8413;44216
